S.no,Regulation,Particulars,Where we get Information in DRHP,Heading,Sub- Heading,What AI search for in DRHP,Remarks,Company_Name,Processed_At,Processed_By,Source_Pdf_Filename,Answer
1,BSE Eligibility Criteria,Post Issue Paid up Capital - Not more than Rs. 25 crores,"Under the head ' Capital Structure' If there is a blob in capital structure, promt for manual check ",SECTION_IV INTRODUCTION,CAPITAL STRUCTURE,Whether the aggregate nominal value under paid up equity capital after the offer is not more than Rs. 25 crores.,,SHRIRAM FOOD INDUSTRY LIMITED,2025-10-30T17:10:32.978490+05:30,John,1758612610710_953.pdf,"The document includes a section on ""Capital Structure"" that provides details on the share capital before and after the offer. Specifically, it mentions the ""ISSUED, SUBSCRIBED AND PAID-UP SHARE CAPITAL AFTER THE OFFER."" However, the actual value is represented by ""[●],"" indicating that this figure is not yet finalized and will depend on the finalization of the Basis of Allotment and the Offer Price.

Therefore, it is currently **unclear** whether the company meets the listing criteria that the aggregate nominal value of paid-up equity capital after the offer is not more than Rs. 25 crores. This determination cannot be made until the value of ""[●]"" is known. A manual check is needed once the offer price and basis of allotment are finalized to confirm the post-offer paid-up equity share capital."
2,BSE Eligibility Criteria,Networth - Atleast Rs. 1 crore for 2 preceding full financial years.,Under the head Summary of Offer Document or Summary of Draft Prospectus,SECTION_II Summary of Offer Document or Summary of Draft Prospectus,Summary of Financial Information or Summary of Restated Financial Information ,"(1) Compare the requirement of net-worth in the Summary of Financial information with the minimum eligibility criteria.

(2) Ignore Standalone figures if both Consolidated and Standalone financials provided.",This can Also be Cross Verified From the figures disclosed in the Chapter Other Regulatory and Statutory Disclosures - 'Criteria for eligibility on SME platform of BSE Limited'.,SHRIRAM FOOD INDUSTRY LIMITED,2025-10-30T17:10:32.978490+05:30,John,1758612610710_953.pdf,"Based on the provided excerpts, the company **meets** the net worth eligibility criteria for listing.

The eligibility criteria state that the company should have a net worth of at least ₹100 lakhs (₹1 crore) in each of the preceding three full financial years.

According to the ""Other Regulatory and Statutory Disclosures"" section (verified from the figures disclosed in the Chapter 'Criteria for eligibility on SME platform of BSE Limited'), the company's restated net worth is as follows:

*   **Fiscal 2025:** ₹14,569.08 lakhs
*   **Fiscal 2024:** ₹10,295.65 lakhs
*   **Fiscal 2023:** ₹8,905.86 lakhs

Since the net worth exceeds ₹100 lakhs in each of the three preceding fiscals (2023, 2024 and 2025), the company fulfills the net worth eligibility criterion."
3,BSE Eligibility Criteria,Net Tangible Asset - Rs 3 crores in last preceding (full) financial year.,Under the head Other Regulatory and Statutory Disclosures - 'Criteria for eligibility on SME platform of BSE Limited'.,SECTION_VIII - Other Regulatory and Statutiry Disclosures,Criteria eligibility on SME platform of BSE Limited,Whether the amount for Net Tangible Asset disclosed in last preceding full financial year is Rs. 3 crores or more ,This can Also be Cross Verified From the figures disclosed in the Chapter Other Regulatory and Statutory Disclosures - 'Criteria for eligibility on SME platform of BSE Limited'.,SHRIRAM FOOD INDUSTRY LIMITED,2025-10-30T17:10:32.978490+05:30,John,1758612610710_953.pdf,"The company meets the listing eligibility criteria for Net Tangible Assets. The ""Restated Net Tangible Assets"" for Fiscal 2025, 2024, and 2023 are ₹14,553.53 lakhs, ₹10,274.29 lakhs, and ₹8,878.68 lakhs respectively. Since ₹8,878.68 lakhs (Fiscal 2023) is greater than Rs. 3 crores (Rs. 300 lakhs), the company satisfies the criteria."
4,BSE Eligibility Criteria,"Track Record -The track record of applicant company seeking listing should be atleast 3 years. Where the applicant company has taken over a proprietorship concern/ firm/ LLP, then the track record together with such proprietorship concern/ registered firm/ LLP should be atleast 3 years. registered partnership Provided, the applicant company seeking listing should have a track record of operations for atleast one full financial year and audited financial results for one full financial  year.Or Where the applicant company does not have a track record of 3 years, then the Project for which IPO is being proposed should be appraised and funded by NABARD, SIDBI, Banks (other than co-operative banks), Financial Institutions.Provided, the applicant company seeking listing should have a track record of operations for atleast one full financial year and audited financial results for one full financial year.",Cover page and Chapter - History and certain corporate matters ,Section VI - History and certain corporate matters,Brief history of our Company,"For 3 years track record:

Check on the cover page and Chapter - History and certain corporate matters for the date of incorporation of the company and whether the company has completed 3 years of existence as on the date of the draft offer document and in case of conversion of of LLP to company or conversion of partnership to company 
",This can Also be Cross Verified From the figures disclosed in the Chapter Other Regulatory and Statutory Disclosures - 'Criteria for eligibility on SME platform of BSE Limited' - Track Record.,SHRIRAM FOOD INDUSTRY LIMITED,2025-10-30T17:10:32.978490+05:30,John,1758612610710_953.pdf,"Based on the provided excerpts, the company **appears to meet** the 3-year track record eligibility criteria for listing, with some caveats:

*   **Incorporation Date:** A certificate of incorporation dated January 22, 2014, was issued to the company under the name 'Shriram Rice Udyog India Private Limited'. This indicates that the company, in some form, has existed for more than 3 years as of the date of the draft offer document (September 2025, as evidenced by multiple dates throughout the excerpts).
*   **Name Changes and Conversion:** The company underwent name changes and converted from a private to a public company. A fresh certificate of incorporation dated May 7, 2014, was issued due to a change of name to 'Shriram Food Industry Private Limited'. Further, a fresh certificate dated May 9, 2023, was issued pursuant to conversion to a public company named 'Shriram Food Industry Limited'.
*   **Audited Financial Results**: There is evidence the company has Audited Financial results for the last 3 fiscals i.e 2024, 2023 and 2022.

*Caveats:*

*   The listing eligibility requires a track record of at least 3 years, *including* operations for at least one full financial year and audited financial results for one full financial year. The excerpts confirm that the company was incorporated in 2014 and has audited financial results for at least three fiscal years. Thus, there is a need to check whether the operations have been going on since incorporation to ascertain the 3 year track record."
5,BSE Eligibility Criteria,"Earnings before Interest, Depreciation and tax -The company/ proprietorship concern/ registered firm/ LLP should have operating profit (earnings before interest, depreciation and tax) from operations for 2 out of 3 latest financial years preceding the application date.Provided the company should have operating profit (earnings before interest, depreciation and tax) from operations for one full financial year preceding the application date.For companies seeking listing where the project has been appraised and funded by NABARD, SIDBI, Banks (other than co-operative banks), Financial Institutions, it shall have positive operating profit (earnings before interest, depreciation and tax) from operations in one full preceding financial year.",Under the head Other Regulatory and Statutory Disclosures - 'Criteria for eligibility on SME platform of BSE Limited'.,SECTION_VIII - Other Regulatory and Statutory Disclosures,Criteria eligibility on SME platform of BSE Limited,"Whether the amount for Earnings before interest, Depreciation and tax disclosed in last preceding full financial year is Rs. 3 crores or more ",This can Also be Cross Verified From the figures disclosed in the Chapter Other Regulatory and Statutory Disclosures - 'Criteria for eligibility on SME platform of BSE Limited'.,SHRIRAM FOOD INDUSTRY LIMITED,2025-10-30T17:10:32.978490+05:30,John,1758612610710_953.pdf,"Based on the provided excerpts, it is possible to determine whether the company meets the listing criteria concerning Earnings Before Interest, Depreciation, and Tax (EBITDA).

The listing eligibility criteria states that the company should have an operating profit (EBITDA) from operations for at least one full financial year preceding the application date and two out of the three latest financial years.

According to the excerpt detailing the company’s net tangible assets, monetary assets, operating profits, and net worth, the operating profit for Fiscal 2025, Fiscal 2024, and Fiscal 2023 were ₹5,947.96 lakhs, ₹1,700.32 lakhs, and ₹3,761.31 lakhs, respectively.

Since the operating profit (EBITDA) for all three of the last financial years (Fiscal 2025, Fiscal 2024 and Fiscal 2023) is above Rs. 3 crores (Rs 300 lakhs), the company meets the criteria of having operating profit from operations for one full financial year preceding the application date, and for two out of three latest financial years."
6,BSE Eligibility Criteria,Leverage Ratio - Leverage ratio of not more than 3:1. Relaxation may be granted to finance companies.,Under the head Other Regulatory and Statutory Disclosures - 'Criteria for eligibility on SME platform of BSE Limited'.,SECTION_VIII - Other Regulatory and Statutory Disclosures,Criteria eligibility on SME platform of BSE Limited,Whether the ratio for Leverage Ratio is not more than 3:1,,SHRIRAM FOOD INDUSTRY LIMITED,2025-10-30T17:10:32.978490+05:30,John,1758612610710_953.pdf,"Based on the provided excerpts, it's possible to determine whether the company, Shriram Food Industry Limited, meets the leverage ratio criterion of not more than 3:1.

The excerpt discussing capitalization as of March 31, 2025, states the ""Total Borrowings/ Shareholder’s’ Fund (Net Worth) ratio (C/F)"" is 1.53. Since this ratio represents the company's leverage, and 1.53 is less than 3, the company *meets* the listing criteria based on this data."
7,BSE Eligibility Criteria,Disciplinary action -No regulatory action of suspension of trading against the promoter(s) or companies promoted by the promoters by any stock Exchange having nationwide trading terminals.The Promoter(s) or directors shall not be promoter(s) or directors (other than independent directors) of compulsory delisted companies by the Exchange and the applicability of consequences of compulsory delisting is attracted or companies that are suspended from trading on account of non-compliance.Director should not be disqualified/ debarred by any of the Regulatory Authority.,Under the head Other Regulatory and Statutory Disclosures - 'Criteria for eligibility on SME platform of BSE Limited'.,SECTION_VIII - Other Regulatory and Statutory Disclosures,Criteria eligibility on SME platform of BSE Limited,"There are no regulatory action of suspension of trading against the promoter(s) or companies promoted by the promoters by any stock Exchange having nationwide trading terminals. 

The Promoter(s) or directors shall not be promoter(s) or director(s) (other than independent directors) of compulsory delisted companies by the Exchange and the applicability of consequences of compulsory delisting is attracted or companies that are suspended from trading on account of non-compliance.

Director should not be disqualified/ debarred by any of the Regulatory Authority.",This data is available on the watchout investor/ Cibil site also the list of debarred entities are available on the SEBI /BSE/ NSE websites also,SHRIRAM FOOD INDUSTRY LIMITED,2025-10-30T17:10:32.978490+05:30,John,1758612610710_953.pdf,"Based on the provided excerpts, the company appears to meet the listing criteria related to disciplinary actions, delisting, and director qualifications. Here's a breakdown:

*   **No regulatory action of suspension of trading:** The document states, ""Our Company, our Directors, our Promoters, the members of the Promoter Group, persons in control of our Company and companies or entities with which our Company’s Promoters and Directors are associated as Directors / Promoters and each of the Promoter Selling Shareholders are not prohibited/debarred from accessing the capital markets or debarred from buying, selling or dealing in securities under any order or direction passed by SEBI or any other securities market regulator in any other jurisdiction or any other authority/court."" This suggests that there are no current prohibitions or debarments that would prevent trading.
*   **Not promoters or directors of compulsory delisted companies:** The document states, ""None of our Directors is or was a director of any listed company which has been or was delisted from any stock exchanges, during the term of their directorship in such Companies."" This indicates that the directors have not been associated with delisted companies.
*   **Director not disqualified/debarred by any Regulatory Authority:** The document states, ""None of our Directors are prohibited from accessing the capital market or debarred from buying, selling or dealing in securities under any order or direction passed by SEBI or any securities market regulator in any other jurisdiction or any other authority/court."" This suggests the directors are not currently disqualified or debarred by any regulatory authority.
Additionally, the Promoter Selling Shareholders have confirmed that they have not been prohibited from accessing the capital market or debarred from buying, selling or dealing in securities under any order or direction passed by SEBI or any securities market regulator in any other jurisdiction or any other authority/court. Further, there have not been any regulatory actions initiated against the Promoter Selling Shareholders by SEBI, RBI or any overseas regulator.

Therefore, based on the provided information, the company fulfills the stated eligibility criteria."
8,228(a) of SEBI ICDR,"If the issuer, any of its promoters, promoter group or directors or selling shareholders are debarred from accessing the capital market by the Board.",Under the head Other Regulatory and Statutory Disclosures - 'Criteria for eligibility on SME platform of BSE Limited'.,SECTION_VIII  -Other Regulatory and Statutory Disclosures,Eligbility for the issue,"The issuer, any of its promoters, promoter group or directors or selling shareholders are debarred from accessing the capital market by the Board",This data is available on the watchout investor site/ CIBIL also the list of debarred entities are available on the SEBI /BSE/ NSE websites also ,SHRIRAM FOOD INDUSTRY LIMITED,2025-10-30T17:10:32.978490+05:30,John,1758612610710_953.pdf,"Based on the provided excerpts, the company appears to meet the listing eligibility criteria regarding debarment from accessing the capital market.

The document explicitly states: ""As on the date of this Draft Red Herring Prospectus, our Promoters and members of our Promoter Group are not prohibited from accessing the capital market or debarred from buying, selling or dealing in securities under any order or direction passed by SEBI or any securities market regulator in any jurisdiction or any other authority / court."" It further confirms, ""Our Promoters are not a promoter of any other company which is debarred from accessing the capital market by SEBI.""

Additionally, the document asserts that ""None of our Company, the Promoter Selling Shareholders, our Promoters, members of our Promoter Group and our Directors are debarred from accessing the capital markets by SEBI"" and that they ""have not been prohibited from accessing the capital market or debarred from buying, selling or dealing in securities under any order or direction passed by SEBI or any securities market regulator in any other jurisdiction or any other authority/court."" The document also confirms that the Promoter Selling Shareholders have not faced regulatory actions by SEBI, RBI, or any overseas regulator.

Finally, it is stated that ""None of our Directors are prohibited from accessing the capital market or debarred from buying, selling or dealing in securities under any order or direction passed by SEBI or any securities market regulator in any other jurisdiction or any other authority/court. Additionally, none of our Directors are or were, associated with any other company which is debarred from accessing the capital market by the Securities and Exchange Board of India.""

These statements indicate that the issuer, its promoters, promoter group, directors, and selling shareholders are not debarred from accessing the capital market by SEBI or any other relevant authority. Therefore, based on the provided information, the company satisfies this particular listing criterion."
9,228(b) of SEBI ICDR,If any of the promoters or directors of the issuer is a promoter or director of any other    company which is debarred from accessing the capital market by the Board.,Under the head legal  and other information  -other regulatory and statutory disclosure.,SECTION_VIII  -Other Regulatory and Statutory Disclosures,Eligbility for the issue,The promoters or directors of the issuer not a promoter or director of any other company which is debarred from accessing the capital market by the Board,This data is available on the watchout investor site/ CIBIL also the list of debarred entities are available on the SEBI /BSE/ NSE websites also ,SHRIRAM FOOD INDUSTRY LIMITED,2025-10-30T17:10:32.978490+05:30,John,1758612610710_953.pdf,"Based on the provided excerpts, the company **meets** the listing eligibility criteria regarding promoters or directors not being associated with companies debarred from accessing the capital market.

Supporting Evidence:

*   The document explicitly states: ""None of the Promoters or Directors of our Company are promoters or a director of companies which are debarred from accessing the capital market by SEBI.""
*   The document also states: ""...our Promoters and members of our Promoter Group are not prohibited from accessing the capital market or debarred from buying, selling or dealing in securities under any order or direction passed by SEBI or any securities market regulator in any jurisdiction or any other authority / court.""
*   Additionally, under ""Other confirmations"", it's confirmed that ""Our Promoters are not a promoter of any other company which is debarred from accessing the capital market by SEBI."""
10,228 (c) of SEBI ICDR,if the issuer or any of its promoters or directors is a  wilful defaulter or a fraudulent borrower.,Under the head legal  and other information  -other regulatory and statutory disclosure.,SECTION_VIII  -Other Regulatory and Statutory Disclosures,Eligbility for the issue,The issuer or any of its promoters or directors is a wilful defaulter or a fradulent borrower,This data is available on the watchout investor site/ CIBIL also the list of debarred entities are available on the SEBI /BSE/ NSE websites also ,SHRIRAM FOOD INDUSTRY LIMITED,2025-10-30T17:10:32.978490+05:30,John,1758612610710_953.pdf,"Based on the provided excerpts, the company appears to meet the listing criteria regarding wilful defaulter or fraudulent borrower status for the company, its promoters, and directors.

Specifically, it is stated that ""Neither our Company nor our Directors or Promoters have been declared as a Wilful Defaulter"" and ""The Company, its Directors and its Promoters / Promoter Group are not declared as 'Fraudulent Borrowers' by the lending banks or financial institutions or consortium, in terms of the Master Directions on Frauds – Classification and Reporting by commercial banks and select FIs dated July 1, 2016, as amended, issued by the Reserve Bank of India."" The document also explicitly states that ""None of our Promoters have been identified as wilful defaulters or as fraudulent borrowers under the SEBI ICDR Regulations"" and ""None of our Directors have been declared as Wilful Defaulters and Fraudulent Borrowers."" Additionally, the company confirms that ""None of our Company, our Promoters or Directors have been categorized as a Wilful Defaulter or a Fraudulent Borrower""."
