Data Fields,Particulars,Where we get Information in Prospectus,Heading,Sub- Heading,Answer
Fund Name,Name of the fund,Financial Highlights,Notes to Financial statements,Note1 - Organisation,The document does not contain the fund name in the Financial Highlights section.
Inception Date,The day when Fund becomes operational,Financial Highlights,Notes to Financial statements,Note1 - Organisation,"I am sorry, but I cannot find the fund's inception date in the provided text."
Benchmark,what will be the benchmark of the fund on the basis which performance would be calculated,Summary,Summary,Principal Risk of investing in the Trust,"I am sorry, but the document provided does not contain the fund's benchmark information."
Investment Strategy,weather fund is going to be actively managed or going to replicate the index which is passive strategy,Summary,Summary,Principal Risk of investing in the Trust,The provided document content does not contain the Fund's investment strategy.
Lot Size,The fund Issue and redeem units in large lot sizes /creation units,Purchases and redemptions of creation units,Purchases and redemptions of creation units,,The fund issues and redeems units in large lot sizes /creation units.
Distributor Name,Underwriter of units/maintains record of creation unit orders,Purchases and redemptions of creation units,Purchases and redemptions of creation units,,"The provided document excerpt does not explicitly state the Distributor Name, but it mentions that Authorized Participants (APs) are responsible for creation and redemption activity for the Fund."
Transaction Fee,Fee payable in connection with each creation and redemption of units,Purchases and redemptions of creation units,Purchase(Creation),Creation transaction fee,A fee is payable in connection with each creation and redemption of units.
Accounting Basis,which accounting principles will the auditor follow,Report of independent registered public accounting firm,Report of independent registered public accounting firm,Summary of Significant Accounting Policies,This document does not contain the accounting principles that the auditor will follow.
Valuation Frequency,what is going to be frequency to determine the NAV of the fund,DETERMINATION OF NET ASSET VALUE,DETERMINATION OF NET ASSET VALUE,,I am unable to determine the frequency to determine the NAV of the fund based on the provided document.
NAV Calculation Method,which price would be used to calculate the NAV of the fund,DETERMINATION OF NET ASSET VALUE,DETERMINATION OF NET ASSET VALUE,,The document does not specify which price would be used to calculate the NAV of the fund.
Expense Ratio / Management Fee,Different kinds expenses/fess bourne by the fund,In the summary section of the prospectus we will get this information,Summary,Fees and expenses of the trust,"I am unable to answer the question because the provided document content does not contain the summary section of the prospectus, which is where the expense ratio and management fee information is located."
Performance Fee Structure,Different kinds expenses/fess bourne by the fund,In the summary section of the prospectus we will get this information,Summary,Fees and expenses of the trust,This document does not contain information about the performance fee structure or different kinds of expenses/fees borne by the fund.
Dividend Policy,weather dividend earned from the fund's investments will be re-invested in the fund or will be distributed back to the investors,dividends and distributions,dividends and distributions,No dividend re-investment service,"The fund's distributions are expected to be taxed as ordinary income and/or capital gains, unless you are investing through a tax-advantaged arrangement."
Custodian / Trustee,who would safeguard the assets of the fund,Federal Income Taxes,Federal Income Taxes,Transactions with Affiliates of the Trustee and Sponsor,"I am sorry, but I cannot answer who would safeguard the assets of the fund using the provided document content because it does not contain information about the custodian or trustee."
Fund Administrator,Authority who will be appointed as the fund Administrator,Federal Income Taxes,Federal Income Taxes,Transactions with Affiliates of the Trustee and Sponsor,The provided document excerpt does not contain information about who will be appointed as the fund Administrator.
Auditor,Name of firm who will audit the financial statement of the fund,Report of independent registered public accounting firm,Report of independent registered public accounting firm,Basis of opinion,"The provided document excerpt does not contain the name of the firm who will audit the financial statement of the fund, nor does it include a ""Report of independent registered public accounting firm""."
Investment Objective,The risk and return objective of the fund .,In the summary section of the prospectus we will get this information,Summary,Investment Objective,"The document provided does not contain the summary section of the prospectus, so the investment objective cannot be extracted."
Investment Strategy,Active /Passive,Summary,Principal Risks of Investing in the Trust,Passive Strategy/Index Risk,The document does not contain explicit information about whether the investment strategy is active or passive in the specified sections.
Leverage Policy,borrow money and then make investments,ADDITIONAL INFORMATION REGARDING DIVIDENDS AND DISTRIBUTIONS,investment restrcitions,,"I am sorry, but I cannot answer the question as the provided text does not contain the answer."
Use of Derivatives,Investment in derivatives is allowed or not,ADDITIONAL INFORMATION REGARDING DIVIDENDS AND DISTRIBUTIONS,investment restrcitions,,The document does not contain information regarding the use of derivatives in the ADDITIONAL INFORMATION REGARDING DIVIDENDS AND DISTRIBUTIONS section.
Initial/Minimum Investment,For operations to start the initial no. of units required,Financial Highlights,Notes to Financial statements,Note1 - Organisation,I am unable to answer this question as the document does not contain the information requested in the specified location.
Transfer Agent Details,party who will account for all the transaction of the fund,Federal Income Taxes,Federal Income Taxes,Transactions with Affiliates of the Trustee and Sponsor,The document does not provide the Transfer Agent Details.
Subscription / Redemption Rules,Subscription and redemption rules ,PURCHASES AND REDEMPTIONS OF CREATION UNITS,"Purchase (Creation) and Redemption 
",,"Under current federal tax laws, any capital gain or loss realized upon a redemption (or creation) of Creation Units is generally treated as long-term capital gain or loss if the Fund Shares (or securities surrendered) have been held for more than one year and as a short-term capital gain or loss if the Fund Shares (or securities surrendered) have been held for one year or less."
Load Fees,Fees bourne by investors while purchasing the units,Summary,Fees and Expenses of the Trust,,The provided document excerpt does not contain information regarding load fees.
Regulatory Authority,REgulatory reporting of the fund,EXCHANGE LISTING AND TRADING,EXCHANGE LISTING AND TRADING,CONTINUOUS OFFERING OF UNITS,The fund shares are listed for trading on the Exchange and may be listed or traded on U.S. and non-U.S. stock exchanges other than the Exchange.
