Data Fields,Particulars,Where we get Information in Prospectus,Heading,Sub- Heading,Answer
Fund Name,Name of the fund,Financial Highlights,Notes to Financial statements,Note1 - Organisation,"I am sorry, but I am unable to answer this question as the document does not contain the Fund Name within the Financial Highlights section, nor anywhere else."
Inception Date,The day when Fund becomes operational,Financial Highlights,Notes to Financial statements,Note1 - Organisation,"I am sorry, but I cannot find the inception date in the provided document."
Benchmark,what will be the benchmark of the fund on the basis which performance would be calculated,Summary,Summary,Principal Risk of investing in the Trust,"The fund seeks to track the performance of the Index, although the fund's return may not match the return of the Index."
Investment Strategy,weather fund is going to be actively managed or going to replicate the index which is passive strategy,Summary,Summary,Principal Risk of investing in the Trust,"The fund seeks to track the performance of the Index, indicating a passive investment strategy."
Lot Size,The fund Issue and redeem units in large lot sizes /creation units,Purchases and redemptions of creation units,Purchases and redemptions of creation units,,"The fund issues and redeems units in large lot sizes, specifically creation units."
Distributor Name,Underwriter of units/maintains record of creation unit orders,Purchases and redemptions of creation units,Purchases and redemptions of creation units,,The document does not explicitly state the Distributor Name in the context of purchases and redemptions of creation units.
Transaction Fee,Fee payable in connection with each creation and redemption of units,Purchases and redemptions of creation units,Purchase(Creation),Creation transaction fee,"I am sorry, but this document does not contain the information about transaction fees related to the purchase and redemption of creation units."
Accounting Basis,which accounting principles will the auditor follow,Report of independent registered public accounting firm,Report of independent registered public accounting firm,Summary of Significant Accounting Policies,"I am sorry, but the document does not contain the accounting principles that the auditor will follow. The document only mentions the Report of independent registered public accounting firm, but does not contain any information from the report itself."
Valuation Frequency,what is going to be frequency to determine the NAV of the fund,DETERMINATION OF NET ASSET VALUE,DETERMINATION OF NET ASSET VALUE,,"Based on the provided document excerpts, the frequency for determining the Net Asset Value (NAV) of the fund cannot be determined."
NAV Calculation Method,which price would be used to calculate the NAV of the fund,DETERMINATION OF NET ASSET VALUE,DETERMINATION OF NET ASSET VALUE,,"I am sorry, but after reviewing the provided document content, I am unable to find the fund's NAV calculation method. The excerpt does not contain information about how the NAV of the fund is calculated."
Expense Ratio / Management Fee,Different kinds expenses/fess bourne by the fund,In the summary section of the prospectus we will get this information,Summary,Fees and expenses of the trust,"I am sorry, but I am unable to find the fund's expense ratio or management fee information in the provided document content, which is usually available in the summary section of the prospectus."
Performance Fee Structure,Different kinds expenses/fess bourne by the fund,In the summary section of the prospectus we will get this information,Summary,Fees and expenses of the trust,"I am sorry, but I am unable to answer this question. The provided document content does not contain the summary section of the prospectus and therefore does not provide any information on the different kinds of expenses/fees borne by the fund."
Dividend Policy,weather dividend earned from the fund's investments will be re-invested in the fund or will be distributed back to the investors,dividends and distributions,dividends and distributions,No dividend re-investment service,The document does not contain specific information regarding whether dividends earned from the fund's investments will be re-invested in the fund or will be distributed back to the investors.
Custodian / Trustee,who would safeguard the assets of the fund,Federal Income Taxes,Federal Income Taxes,Transactions with Affiliates of the Trustee and Sponsor,"I am sorry, but after reviewing the document, I could not find who the custodian/trustee is. The provided text focuses on investment risks, fund policies, and tax implications, but it does not mention the entity responsible for safeguarding the fund's assets."
Fund Administrator,Authority who will be appointed as the fund Administrator,Federal Income Taxes,Federal Income Taxes,Transactions with Affiliates of the Trustee and Sponsor,"I am sorry, but this document does not contain the Fund Administrator's identity, as it focuses on investment strategies, risks, and procedures for purchasing or redeeming fund shares. The document does not include the details about who the Fund Administrator is."
Auditor,Name of firm who will audit the financial statement of the fund,Report of independent registered public accounting firm,Report of independent registered public accounting firm,Basis of opinion,"I am sorry, but I cannot locate the name of the fund's auditor in the provided document content, as there is no mention of ""Report of independent registered public accounting firm"" or the auditor's name."
Investment Objective,The risk and return objective of the fund .,In the summary section of the prospectus we will get this information,Summary,Investment Objective,"I am sorry, but I cannot find the investment objective of the fund in the provided document. The document refers to checking the summary section of the prospectus for the investment objective, but the provided content does not include a summary section."
Investment Strategy,Active /Passive,Summary,Principal Risks of Investing in the Trust,Passive Strategy/Index Risk,"I am sorry, but I cannot determine the investment strategy of the fund as either active or passive based on the provided document excerpts, as the summary section does not contain the relevant information."
Leverage Policy,borrow money and then make investments,ADDITIONAL INFORMATION REGARDING DIVIDENDS AND DISTRIBUTIONS,investment restrcitions,,"I am sorry, but I cannot answer the question about the fund's leverage policy. The document provided does not contain the requested information in the specified location, which is ""ADDITIONAL INFORMATION REGARDING DIVIDENDS AND DISTRIBUTIONS."""
Use of Derivatives,Investment in derivatives is allowed or not,ADDITIONAL INFORMATION REGARDING DIVIDENDS AND DISTRIBUTIONS,investment restrcitions,,"Yes, the fund is allowed to invest in derivatives, specifically futures contracts on fixed-income securities, options on those futures, and other derivatives transactions."
Initial/Minimum Investment,For operations to start the initial no. of units required,Financial Highlights,Notes to Financial statements,Note1 - Organisation,"To establish an account for Class A, the initial investment is $2,000, while for Class I and Class K, there is no minimum initial investment required."
