TOC Tag ID,Section No. (Roman),Section,Sub-section,Start Page#,End Page#
1.1,,Summary,Summary,2,2
2.1,,Investment Objective,Investment Objective,2,2
3.1,,Fees and Expenses of the Trust,Fees and Expenses of the Trust,2,2
4.1,,Dividends and Distributions,Dividends and Distributions,7,7
5.1,,Dividends and Capital Gains,Dividends and Capital Gains,2,2
6.1,,Federal Income Taxes,Federal Income Taxes,2,2
7.1,,Taxation of the Trust,Taxation of the Trust,2,2
8.1,,Holders,Holders,2,2
9.1,,Turnover,Turnover,3,3
10.1,,Dividends,Dividends,3,3
11.1,,Public Accounting Firm,Public Accounting Firm,3,3
12.1,,Statements of Operations,Statements of Operations,3,3
13.1,,Assets,Assets,3,3
14.1,,Unit outstanding throughout each period,Unit outstanding throughout each period,3,3
15.1,,Notes to Financial Statements,Notes to Financial Statements,3,3
16.1,,Redemption of Units,Redemption of Units,4,4
17.1,,System,System,4,4
18.1,,Agreement,Agreement,4,4
19.1,,Trust,Trust,4,4
20.1,,(Unaudited),(Unaudited),4,4
21.1,,Organization of the Trust,Organization of the Trust,5,5
22.1,,Creation Units,Creation Units,5,5
23.1,,Purchase (Creation),Purchase (Creation),5,5
24.1,,Redemption,Redemption,5,5
25.1,,Trust Performance,Trust Performance,6,6
26.1,,Book-Entry-Only System,Book-Entry-Only System,6,6
27.1,,Portfolio Adjustments,Portfolio Adjustments,6,6
28.1,,Exchange Listing and Trading,Exchange Listing and Trading,6,6
29.1,,Secondary Trading on Exchanges,Secondary Trading on Exchanges,6,6
30.1,,Trading Prices of Units,Trading Prices of Units,6,6
31.1,,Continuous Offering of Units,Continuous Offering of Units,6,6
32.1,,Expenses of the Trust,Expenses of the Trust,6,6
33.1,,Trustee Fee Scale,Trustee Fee Scale,7,7
34.1,,Determination of Net Asset Value,Determination of Net Asset Value,7,7
35.1,,Additional Risk Information,Additional Risk Information,7,7
36.1,,General Policies,General Policies,7,7
37.1,,Investment Restrictions,Investment Restrictions,7,7
38.1,,Companies,Companies,7,7
39.1,,Annual Reports,Annual Reports,7,7
40.1,,Considerations,Considerations,7,7
41.1,,Index License,Index License,7,7
42.1,,Purchase and Sale Information,Purchase and Sale Information,8,8
43.1,,Tax Information,Tax Information,8,8
44.1,,The DJIA,The DJIA,8,8
45.1,,2024 3,2024 3,8,8
46.1,,Sponsor,Sponsor,8,8
47.1,,Trustee,Trustee,8,8
48.1,,Depository,Depository,8,8
49.1,,Distributor,Distributor,8,8
50.1,,Trust Agreement,Trust Agreement,8,8
51.1,,Legal Opinion,Legal Opinion,9,9
52.1,,Accounting Firm and Financial Statements,Accounting Firm and Financial Statements,9,9
53.1,,Code of Ethics,Code of Ethics,9,9
54.1,,to Secondary Market Trading and Performance,to Secondary Market Trading and Performance,9,9
55.1,,No Dividend Reinvestment Service . . .,No Dividend Reinvestment Service . . .,13,13
56.1,,Tax Consequences to U.S. Holders . . .,Tax Consequences to U.S. Holders . . .,17,17
57.1,,Adjustments to the Portfolio Deposit . .,Adjustments to the Portfolio Deposit . .,56,56
58.1,,Termination of the Trust Agreement . .,Termination of the Trust Agreement . .,81,81
59.1,,",",",",87,87
