TOC Tag ID,Section No. (Roman),Section,Sub-section,Start Page#,End Page#
1.1,,Fund Summaries,Fund Summaries,9,9
2.1,,State Street Aggregate Bond Index Fund . . . . . . . . . . . . . . . . . . .,State Street Aggregate Bond Index Fund . . . . . . . . . . . . . . . . . . .,9,9
3.1,,State Street Global All Cap Equity ex-U.S. Index Fund . . .,State Street Global All Cap Equity ex-U.S. Index Fund . . .,9,9
4.1,,State Street Small/Mid Cap Equity Index Fund. . . . . . . . . . . .,State Street Small/Mid Cap Equity Index Fund. . . . . . . . . . . .,10,10
5.1,,"Additional Information About Investment Objectives, Principal Strategies and Risks","Additional Information About Investment Objectives, Principal Strategies and Risks",11,11
6.1,,Additional Information About Non-Principal Investment Strategies and Risks . . .,Additional Information About Non-Principal Investment Strategies and Risks . . .,13,13
7.1,,Portfolio Holdings Disclosure . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Portfolio Holdings Disclosure . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,13,13
8.1,,Management and Organization . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Management and Organization . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,13,13
9.1,,Shareholder Information,Shareholder Information,14,14
10.1,,"Dividends, Distributions and Tax Considerations . . . . . . . . . . .","Dividends, Distributions and Tax Considerations . . . . . . . . . . .",15,15
11.1,,Financial Intermediary Arrangements . . . . . . . . . . . . . . . . . . . . . . .,Financial Intermediary Arrangements . . . . . . . . . . . . . . . . . . . . . . .,15,15
12.1,,Financial Highlights,Financial Highlights,15,15
13.1,,Index Fund . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Index Fund . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,17,17
14.1,,Index/Trademark Licenses/Disclaimers. . . . . . . . . . . . . . . . . . . . . . . . . .,Index/Trademark Licenses/Disclaimers. . . . . . . . . . . . . . . . . . . . . . . . . .,17,17
15.1,,State Street Equity,State Street Equity,106,106
