TOC Tag ID,Section No. (Roman),Section,Sub-section,Start Page#,End Page#
1.1,,SECTION I: GENERAL,DEFINITIONS AND ABBREVIATIONS,5,19
1.2,,SECTION I: GENERAL,SUMMARY OF THE OFFER DOCUMENT,20,46
1.3,,SECTION I: GENERAL,CURRENCY OF PRESENTATION,47,51
1.4,,SECTION I: GENERAL,FORWARD-LOOKING STATEMENTS,52,52
2.1,,SECTION II: RISK FACTORS,SECTION II: RISK FACTORS,53,100
3.1,,SECTION III: INTRODUCTION,THE OFFER,101,102
3.2,,SECTION III: INTRODUCTION,SUMMARY OF FINANCIAL INFORMATION,103,108
3.3,,SECTION III: INTRODUCTION,GENERAL INFORMATION,109,117
3.4,,SECTION III: INTRODUCTION,CAPITAL STRUCTURE,118,142
3.5,,SECTION III: INTRODUCTION,OBJECTS OF THE OFFER,143,148
3.6,,SECTION III: INTRODUCTION,BASIS FOR OFFER PRICE,149,164
3.7,,SECTION III: INTRODUCTION,STATEMENT OF POSSIBLE SPECIAL TAX BENEFITS,165,170
4.1,,SECTION IV: ABOUT OUR COMPANY,INDUSTRY OVERVIEW,171,311
4.2,,SECTION IV: ABOUT OUR COMPANY,OUR BUSINESS,312,340
4.3,,SECTION IV: ABOUT OUR COMPANY,OUR MERGER WITH TATA MOTORS FINANCE LIMITED,341,352
4.4,,SECTION IV: ABOUT OUR COMPANY,KEY REGULATIONS AND POLICIES,353,372
4.5,,SECTION IV: ABOUT OUR COMPANY,HISTORY AND CERTAIN CORPORATE MATTERS,373,384
4.6,,SECTION IV: ABOUT OUR COMPANY,OUR MANAGEMENT,385,407
4.7,,SECTION IV: ABOUT OUR COMPANY,OUR PROMOTER AND PROMOTER GROUP,408,420
4.8,,SECTION IV: ABOUT OUR COMPANY,DIVIDEND POLICY,421,421
4.9,,SECTION IV: ABOUT OUR COMPANY,SELECTED STATISTICAL INFORMATION,422,440
5.1,,SECTION V: FINANCIAL INFORMATION,RESTATED CONSOLIDATED FINANCIAL INFORMATION,441,619
5.2,,SECTION V: FINANCIAL INFORMATION,OTHER FINANCIAL INFORMATION,620,658
5.3,,SECTION V: FINANCIAL INFORMATION,CAPITALISATION STATEMENT,659,659
5.4,,SECTION V: FINANCIAL INFORMATION,FINANCIAL INDEBTEDNESS,660,663
6.1,,SECTION VI: LEGAL AND OTHER INFORMATION,OUTSTANDING LITIGATION AND MATERIAL DEVELOPMENTS,664,695
6.2,,SECTION VI: LEGAL AND OTHER INFORMATION,GOVERNMENT AND OTHER APPROVALS,696,700
7.1,,SECTION VII: GROUP COMPANIES,SECTION VII: GROUP COMPANIES,701,717
8.1,,SECTION VIII: OTHER REGULATORY AND STATUTORY DISCLOSURES,SECTION VIII: OTHER REGULATORY AND STATUTORY DISCLOSURES,718,752
9.1,,SECTION IX: OFFER INFORMATION,TERMS OF THE OFFER,753,758
9.2,,SECTION IX: OFFER INFORMATION,OFFER STRUCTURE,759,762
9.3,,SECTION IX: OFFER INFORMATION,OFFER PROCEDURE,763,780
9.4,,SECTION IX: OFFER INFORMATION,RESTRICTIONS ON FOREIGN OWNERSHIP OF INDIAN SECURITIES,781,782
10.1,,SECTION X: DESCRIPTION OF EQUITY SHARES AND TERMS OF ARTICLES OF ASSOCIATION,MATERIAL CONTRACTS AND DOCUMENTS FOR INSPECTION,822,824
10.2,,SECTION X: DESCRIPTION OF EQUITY SHARES AND TERMS OF ARTICLES OF ASSOCIATION,DECLARATION,825,825
